year_month,zipcode,total_ed_visits,ili_pne_visits,ili_pne_admissions
2020-03,10000,825,0,0
2020-03,10001,1121615,125357,21552
2020-03,10002,1950945,294530,100798
2020-03,10003,978465,104517,25677
2020-03,10004,44550,6600,825
2020-03,10005,93435,20684,5775
2020-03,10006,33000,4125,825
2020-03,10007,98180,12272,3920
2020-03,10009,1638045,235990,57705
2020-03,10010,423230,59583,17324
2020-03,10011,814730,144380,37225
2020-03,10012,218840,48161,12477
2020-03,10013,393330,53579,15632
2020-03,10014,409660,85191,21450
2020-03,10016,2271025,213475,54450
2020-03,10017,258020,60923,17240
2020-03,10018,224610,29801,6600
2020-03,10019,1229255,185105,46111
2020-03,10021,550495,104472,37080
2020-03,10022,403845,84453,27225
2020-03,10023,801285,122043,43784
2020-03,10024,724970,130413,40543
2020-03,10025,2162740,280830,71061
2020-03,10026,1494285,242768,53926
2020-03,10027,2376000,359900,86568
2020-03,10028,541415,105875,36355
2020-03,10029,4314340,652716,136046
2020-03,10030,1471390,246654,51149
2020-03,10031,2022695,392188,80162
2020-03,10032,2254115,564561,91774
2020-03,10033,1545845,458259,76120
2020-03,10034,1104890,278736,44138
2020-03,10035,2460155,328238,81405
2020-03,10036,670730,97498,24809
2020-03,10037,1071675,161469,35472
2020-03,10038,699205,77357,20581
2020-03,10039,1271945,216018,51044
2020-03,10040,1110455,316347,51107
2020-03,10044,193050,48692,19034
2020-03,10065,412510,59976,19757
2020-03,10069,61875,15154,4124
2020-03,10075,659605,98858,33100
2020-03,10128,763340,136648,33033
2020-03,10280,55275,6600,1650
2020-03,10282,56310,7527,1650
2020-03,10301,1440245,251114,67667
2020-03,10302,682275,135970,30687
2020-03,10303,1001550,179033,38052
2020-03,10304,1485825,273774,88114
2020-03,10305,1100345,197780,53724
2020-03,10306,1165320,208550,75795
2020-03,10307,262565,44976,15693
2020-03,10308,477065,102934,36833
2020-03,10309,654860,123453,34812
2020-03,10310,911625,166947,35475
2020-03,10312,973525,180472,62901
2020-03,10314,1638460,323248,109900
2020-03,10451,2882965,452034,90904
2020-03,10452,3919370,684201,83441
2020-03,10453,3918960,642321,90653
2020-03,10454,2161710,339108,79742
2020-03,10455,2074880,344953,72545
2020-03,10456,5297125,696342,120204
2020-03,10457,4812020,652170,126057
2020-03,10458,3633305,552690,103307
2020-03,10459,2261120,359296,73677
2020-03,10460,2821090,431229,94710
2020-03,10461,1826140,279284,74383
2020-03,10462,2747460,471907,103979
2020-03,10463,1649000,363879,66896
2020-03,10464,110550,23303,7425
2020-03,10465,928745,177844,46999
2020-03,10466,2888740,542666,131159
2020-03,10467,5011670,911726,188184
2020-03,10468,3099335,609697,102745
2020-03,10469,2357850,433629,116908
2020-03,10470,403425,76610,14807
2020-03,10471,373935,78330,17945
2020-03,10472,2835115,521991,117032
2020-03,10473,2190995,345352,89150
2020-03,10474,683100,81515,23115
2020-03,10475,1087970,208904,95484
2020-03,11004,563475,133207,39575
2020-03,11101,1071680,230653,57707
2020-03,11102,1068995,296013,59457
2020-03,11103,743120,196252,41161
2020-03,11104,521195,166384,42853
2020-03,11105,615450,138605,25573
2020-03,11106,999490,254489,44727
2020-03,11109,41250,15156,3402
2020-03,11201,1595355,258159,56960
2020-03,11203,3577205,637250,176412
2020-03,11204,1334645,192000,64752
2020-03,11205,1363110,231076,42442
2020-03,11206,3519660,540368,96563
2020-03,11207,4495015,751302,148443
2020-03,11208,4053435,816331,166050
2020-03,11209,1436120,240763,65429
2020-03,11210,1716620,312526,95341
2020-03,11211,1755610,418881,137208
2020-03,11212,4845850,745950,197635
2020-03,11213,2503465,464488,134600
2020-03,11214,1845320,250600,56216
2020-03,11215,1069615,217676,60531
2020-03,11216,1864710,295407,49888
2020-03,11217,1103445,190866,40501
2020-03,11218,1698265,246561,74508
2020-03,11219,1822015,160212,51250
2020-03,11220,2697340,479682,98391
2020-03,11221,3341875,591792,80088
2020-03,11222,605965,101837,26631
2020-03,11223,1818920,280967,88068
