zipcode,year,month,volume
10001.0,2015,5,0
10001.0,2017,7,42586
10001.0,2019,4,8323
10001.0,2021,7,28953
10001.0,2021,11,6152
10001.0,2023,10,8279
10002.0,2009,10,148209
10002.0,2010,10,67046
10002.0,2010,11,30798
10002.0,2012,4,7684
10002.0,2012,5,22420
10002.0,2012,10,1027
10002.0,2013,11,222856
10002.0,2015,1,41866
10002.0,2015,4,43517
10002.0,2015,8,868
10002.0,2017,7,37070
10002.0,2019,6,30681
10002.0,2023,3,59036
10002.0,2023,6,44648
10002.0,2024,2,6106
10002.0,2024,3,18859
10003.0,2000,1,145282
10003.0,2009,4,71090
10003.0,2009,5,20507
10003.0,2010,5,77328
10003.0,2010,11,46447
10003.0,2010,12,9274
10003.0,2012,9,2236
10003.0,2013,5,4180
10003.0,2013,8,220276
10003.0,2013,12,179
10003.0,2014,10,40757
10003.0,2015,1,27466
10003.0,2019,10,2413
10003.0,2024,3,1237
10004.0,2009,1,9012
10004.0,2012,11,113755
10004.0,2012,12,69758
10004.0,2013,9,4890
10004.0,2017,2,32558
10005.0,2009,10,8188
10005.0,2009,11,11261
10005.0,2020,10,9126
10006.0,2016,6,3
10007.0,2008,7,14891
10007.0,2008,8,1052
10007.0,2017,1,1894
10007.0,2019,10,12969
10009.0,2010,11,2301
10009.0,2010,12,204
10009.0,2014,7,41265
10009.0,2014,10,614314
10009.0,2018,9,2228
10009.0,2019,6,6194
10009.0,2020,11,19304
10010.0,2009,1,117651
10010.0,2009,2,159285
10010.0,2010,6,384
10010.0,2010,11,141048
10010.0,2011,3,150159
10010.0,2013,8,71608
10010.0,2013,12,46233
10010.0,2014,8,4089
10010.0,2017,2,77
10010.0,2023,4,28792
10011.0,2011,9,115024
10011.0,2012,10,1090
10011.0,2013,8,135020
10011.0,2019,10,143
10011.0,2019,12,57527
10012.0,2013,11,7754
10012.0,2014,3,4812
10012.0,2015,8,16223
10012.0,2016,1,159550
10012.0,2018,10,199726
10013.0,2013,11,118270
10013.0,2014,10,36861
10013.0,2015,7,1811
10013.0,2016,1,27798
10013.0,2016,2,12627
10013.0,2017,9,31332
10013.0,2020,11,70272
10014.0,2009,5,9639
10014.0,2013,9,334
10014.0,2013,11,1002
10014.0,2013,12,218840
10014.0,2014,10,1329
10014.0,2014,11,578396
10014.0,2015,11,46036
10014.0,2019,10,174
10016.0,2010,11,9192
10016.0,2015,3,100450
10016.0,2017,1,55149
10016.0,2018,11,102368
10016.0,2021,7,82720
10016.0,2023,4,6059
10017.0,2009,1,91
10017.0,2009,2,219
10017.0,2011,10,12777
10017.0,2017,1,6240
10017.0,2018,11,122387
10017.0,2019,2,70949
10017.0,2019,3,243560
10017.0,2019,12,63682
10017.0,2021,2,22919
