TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,"Estimated annual rate per 100,000 adults",Unnamed: 7,Zip Codes
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,7,9,0,"10463, 10471"
2017-2019,UHF42,102,4,Northeast Bronx,16,10,0,"10466, 10469, 10470, 10475"
2017-2019,UHF42,103,4,Fordham - Bronx Pk,23,11,0,"10458, 10460, 10467, 10468"
2017-2019,UHF42,104,4,Pelham - Throgs Neck,24,10,0,"10461, 10462, 10464, 10465"
2017-2019,UHF42,105,4,Crotona -Tremont,20,13,0,"10453, 10457, 10459, 10460"
2017-2019,UHF42,106,4,High Bridge - Morrisania,23,15,0,"10451, 10452, 10456"
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,16,15,0,"10454, 10455, 10459, 10474"
2017-2019,UHF42,201,4,Greenpoint,3,4,0,"11211, 11222"
2017-2019,UHF42,202,4,Downtown - Heights - Slope,13,6,0,"11201, 11205, 11215, 11217, 11231"
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,21,8,0,"11213, 11216, 11233, 11238"
2017-2019,UHF42,204,4,East New York,12,9,0,"11207, 11208"
2017-2019,UHF42,205,4,Sunset Park,6,6,0,"11220, 11232"
2017-2019,UHF42,206,4,Borough Park,14,6,0,"11204, 11218, 11219"
2017-2019,UHF42,207,4,East Flatbush - Flatbush,15,6,0,"11203, 11210, 11225, 11226"
2017-2019,UHF42,208,4,Canarsie - Flatlands,13,8,0,"11234, 11236, 11239"
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,11,6,0,"11209, 11214, 11228"
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,24,10,0,"11223, 11224, 11229, 11235"
2017-2019,UHF42,211,4,Williamsburg - Bushwick,13,8,0,"11206, 11211, 11221, 11237"
2017-2019,UHF42,301,4,Washington Heights,14,6,0,"10031, 10032, 10033, 10034, 10040"
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,12,8,0,"10026, 10027, 10030, 10037, 10039"
2017-2019,UHF42,303,4,East Harlem,9,10,0,"10029, 10035"
2017-2019,UHF42,304,4,Upper West Side,9,5,0,"10023, 10024, 10025"
2017-2019,UHF42,305,4,Upper East Side,9,5,0,"10021, 10028, 10044, 10065, 10075, 10128"
2017-2019,UHF42,306,4,Chelsea - Clinton,7,4,0,"10001, 10011, 10018, 10019, 10036"
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,6,5,0,"10010, 10016, 10017"
2017-2019,UHF42,308,4,Greenwich Village - SoHo,2,3,0,"10012, 10013, 10014"
2017-2019,UHF42,309,4,Union Square - Lower East Side,12,7,0,"10002, 10003, 10009"
2017-2019,UHF42,310,4,Lower Manhattan,3,4,0,"10004, 10005, 10006, 10007, 10038, 10280"
2017-2019,UHF42,401,4,Long Island City - Astoria,10,5,0,"11101, 11102, 11103, 11106"
2017-2019,UHF42,402,4,West Queens,20,5,0,"11374, 11375, 11378, 11379, 11385"
2017-2019,UHF42,403,4,Flushing - Clearview,12,5,0,"11354, 11355, 11356, 11357, 11358, 11360"
2017-2019,UHF42,404,4,Bayside - Little Neck,2,2,0,"11361, 11362, 11363, 11364"
2017-2019,UHF42,405,4,Ridgewood - Forest Hills,12,5,0,"11375, 11379, 11385"
2017-2019,UHF42,406,4,Fresh Meadows,4,5,0,"11365, 11366"
2017-2019,UHF42,407,4,Southwest Queens,12,5,0,"11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421"
2017-2019,UHF42,408,4,Jamaica,16,6,0,"11412, 11423, 11432, 11433, 11434, 11435, 11436"
2017-2019,UHF42,409,4,Southeast Queens,6,3,0,"11004, 11005, 11411, 11412, 11413, 11422, 11426, 11427, 11428, 11429"
2017-2019,UHF42,410,4,Rockaways,10,10,0,"11691, 11692, 11693, 11694, 11697"
2017-2019,UHF42,501,4,Port Richmond,5,10,0,"10302, 10303, 10310"
2017-2019,UHF42,502,4,Stapleton - St. George,12,12,0,"10301, 10304, 10305"
2017-2019,UHF42,503,4,Willowbrook,8,10,0,10314
2017-2019,UHF42,504,4,South Beach - Tottenville,15,10,0,"10306, 10307, 10308, 10309, 10312"
2017-2019,Borough,1,1,Bronx,130,12,0,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10458, 10459, 10460, 10461, 10462, 10463, 10464, 10465, 10466, 10467, 10468, 10469, 10470, 10471, 10472, 10473, 10474, 10475"
2017-2019,Borough,2,1,Brooklyn,145,7,0,"11201, 11203, 11204, 11205, 11206, 11207, 11208, 11209, 11210, 11211, 11212, 11213, 11214, 11215, 11216, 11217, 11218, 11219, 11220, 11221, 11222, 11223, 11224, 11225, 11226, 11228, 11229, 11230, 11231, 11232, 11233, 11234, 11235, 11236, 11237, 11238, 11239, 11249"
2017-2019,Borough,3,1,Manhattan,83,6,0,"10001, 10002, 10003, 10004, 10005, 10006, 10007, 10009, 10010, 10011, 10012, 10013, 10014, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024, 10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032, 10033, 10034, 10035, 10036, 10037, 10038, 10039, 10040, 10044, 10048, 10065, 10075, 10128, 10280, 10282"
2017-2019,Borough,4,1,Queens,102,5,0,"11001, 11004, 11005, 11101, 11102, 11103, 11104, 11105, 11106, 11109, 11351, 11354, 11355, 11356, 11357, 11358, 11359, 11360, 11361, 11362, 11363, 11364, 11365, 11366, 11367, 11368, 11369, 11370, 11371, 11372, 11373, 11374, 11375, 11377, 11378, 11379, 11385, 11411, 11412, 11413, 11414, 11415, 11416, 11417, 11418, 11419, 11420, 11421, 11422, 11423, 11426, 11427, 11428, 11429, 11430, 11432, 11433, 11434, 11435, 11436, 11691, 11692, 11693, 11694, 11697"
2017-2019,Borough,5,1,Staten Island,40,10,0,"10301, 10302, 10303, 10304, 10305, 10306, 10307, 10308, 10309, 10310, 10312, 10314"
